Store_ID,Sale_ID,Member_ID,Payment_Type,Card_Number,Time,Month,Day,Year
71,0,8,Cash,-1,11:05,3,17,2017
71,1,7,Credit,4728861809603325,11:25,4,12,2017
71,2,4,Cash,-1,12:15,4,19,2017
71,3,3,Credit,4929917285443953,12:30,5,20,2017
71,4,1,Credit,6011355616654127,13:40,7,23,2017
797,5,10,Cash,-1,13:45,1,5,2018
797,6,8,Credit,343409952638897,14:35,1,12,2018
797,7,5,Cash,-1,14:40,3,24,2018
797,8,2,Cash,-1,16:10,5,25,2018
797,9,6,Credit,375362354469604,14:35,9,26,2018
797,10,3,Cash,-1,14:40,1,27,2019
71,11,3,Cash,-1,13:15,2,1,2019
71,12,7,Credit,4728861809603325,12:15,2,1,2019
71,13,8,Credit,343409952638897,12:20,2,2,2019
71,14,4,Cash,-1,13:50,2,5,2019
71,15,3,Cash,-1,11:00,2,15,2019
797,16,1,Credit,6011355616654127,11:30,3,4,2019
797,17,1,Credit,6011355616654127,11:50,3,22,2019
797,18,8,Cash,-1,12:25,3,25,2019
797,19,4,Cash,-1,13:45,4,1,2019
797,20,3,Credit,4929917285443953,14:00,4,4,2019
280,23,46,Cash,-1,1:53,9,28,2017
280,24,57,Credit,670619972076378200,20:56,8,19,2017
797,25,71,Cash,-1,9:41,9,11,2017
433,26,70,Credit,201435962730003,24:50,12,13,2017
1667,27,85,Credit,3582973333210795,11:37,1,13,2017
1667,28,82,Cash,-1,10:33,11,23,2018
280,29,64,Credit,3529475251805917,23:21,3,16,2018
280,30,51,Cash,-1,18:37,10,1,2018
797,31,61,Cash,-1,4:53,3,21,2018
1075,32,18,Credit,564182040253989603,14:24,11,1,2018
280,33,70,Cash,-1,2:48,5,17,2019
1667,34,22,Cash,-1,18:55,8,20,2019
433,35,44,Credit,5511378587283855,6:23,10,21,2019
106,36,13,Credit,3539074854744413,17:50,9,19,2019
280,37,32,Cash,-1,2:38,12,3,2019
1667,38,0,Cash,-1,11:29,12,19,2019
1667,39,57,Credit,5610931653748456,8:40,5,24,2019
1703,40,87,Credit,4508423962132703,11:23,4,19,2019
71,41,65,Cash,-1,8:20,2,11,2019
797,42,47,Cash,-1,4:21,8,3,2019
71,43,24,Credit,6373524833884625,7:10,8,4,2019
797,44,35,Cash,-1,12:11,10,19,2017
797,45,86,Credit,3538101103418191,12:25,3,23,2017
1703,46,67,Cash,-1,19:15,11,16,2017
280,47,20,Credit,3564882277962323,10:37,9,27,2017
71,48,8,Credit,378548538513690,7:17,12,26,2017
1667,49,0,Cash,-1,10:59,7,26,2018
1703,50,75,Credit,3560957655541362,4:53,6,11,2018
797,51,2,Cash,-1,23:55,9,11,2018
106,52,27,Cash,-1,2:59,11,22,2018
71,53,45,Credit,6759797672055917783,1:24,8,23,2018
1075,54,28,Cash,-1,24:57,10,1,2019
1703,55,74,Cash,-1,9:18,11,15,2019
797,56,90,Credit,5602215345142272,2:45,7,14,2019
1667,57,93,Credit,3553552889997511,1:56,6,8,2019
1864,58,99,Cash,-1,4:14,7,7,2019
797,59,19,Cash,-1,17:12,8,25,2017
1703,60,80,Credit,5602210408886071,19:52,5,19,2017
1667,61,51,Credit,3586703668527711,15:58,3,26,2017
71,62,57,Cash,-1,0:18,11,21,2017
797,63,72,Cash,-1,16:26,9,2,2017
797,64,23,Credit,5191399692965209,15:27,1,23,2018
280,65,95,Cash,-1,23:56,9,2,2018
1703,66,56,Credit,4405187583639644,19:41,4,18,2018
797,67,39,Cash,-1,16:47,10,9,2018
1703,68,29,Credit,5602252058882836,19:57,8,10,2018
1703,69,55,Credit,56022418465822393,21:60,2,4,2019
1703,70,11,Cash,-1,12:14,1,14,2019
1602,71,70,Credit,3570088708946719,17:54,8,28,2019
1075,72,76,Cash,-1,13:41,8,22,2019
797,73,12,Cash,-1,8:24,7,2,2019
71,74,35,Credit,3528139222425848,13:22,8,8,2019
1864,75,32,Cash,-1,2:31,12,8,2019
797,76,37,Cash,-1,10:30,4,7,2019
280,77,57,Credit,503844164822133283,2:38,6,23,2019
1667,78,61,Credit,3562468663615345,0:52,11,4,2019
1667,79,76,Cash,-1,18:22,2,19,2019
797,80,11,Cash,-1,3:55,10,21,2017
71,81,91,Credit,060481970441985328,16:29,8,18,2017
797,82,8,Credit,3553735348376209,23:11,9,4,2017
797,83,46,Cash,-1,14:20,1,5,2017
797,84,57,Cash,-1,16:30,5,4,2017
797,85,71,Credit,3587012479232621,14:39,9,14,2018
433,86,70,Cash,-1,5:23,12,28,2018
1667,87,85,Credit,30366778471713,12:38,7,19,2018
280,88,82,Cash,-1,14:60,9,5,2018
797,89,64,Credit,3581709986063029,5:46,4,8,2018
